Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,16193626752
2,China,Australia,11061500935
1,China,Brazil,9992524117
2,China,Brazil,4827209396
1,China,Canada,7511155033
2,China,Canada,11653674562
1,China,China,55162904686
1,China,France,9016838965
2,China,France,11691652570
1,China,Germany,30722927993
2,China,Germany,32527131213
1,China,Indonesia,8436960169
2,China,Indonesia,8350368154
1,China,Italy,6925291833
2,China,Italy,11690507119
1,China,Japan,1.00E+11
2,China,Japan,83986277412
1,China,Rep. of Korea,76820404020
2,China,Rep. of Korea,35107775981
1,China,Mexico,2225294549
2,China,Mexico,5537687359
1,China,Netherlands,2926720742
2,China,Netherlands,25875734757
1,China,Russian Federation,15889942926
2,China,Russian Federation,13211283269
1,China,Saudi Arabia,12245714978
2,China,Saudi Arabia,3824415297
1,China,India,9766216269
2,China,India,8934277108
1,China,Spain,2081639051
2,China,Spain,8483530883
1,China,United Arab Emirates,2045599161
2,China,United Arab Emirates,8729838759
1,China,Turkey,621744135
2,China,Turkey,4253725596
1,China,United Kingdom,5523782809
2,China,United Kingdom,18976473583
1,China,USA,48741358502
2,China,USA,1.63E+11
1,Germany,Australia,1576562000
2,Germany,Australia,6243205000
1,Germany,Brazil,7329632000
2,Germany,Brazil,6814719000
1,Germany,Canada,3396101000
2,Germany,Canada,6834173000
1,Germany,China,50594705000
2,Germany,China,26339982000
1,Germany,France,66712113000
2,Germany,France,98354819000
1,Germany,Indonesia,3028284000
2,Germany,Indonesia,1797637000
1,Germany,Italy,45183458000
2,Germany,Italy,67002331000
1,Germany,Japan,27025351000
2,Germany,Japan,16610514000
1,Germany,Rep. of Korea,11884525000
2,Germany,Rep. of Korea,8805782000
1,Germany,Mexico,2570031000
2,Germany,Mexico,7340038000
1,Germany,Netherlands,64375190000
2,Germany,Netherlands,60942951000
1,Germany,Russian Federation,27678734000
2,Germany,Russian Federation,21413908000
1,Germany,Saudi Arabia,1689513000
2,Germany,Saudi Arabia,5023655000
1,Germany,India,4232063000
2,Germany,India,5208753000
1,Germany,Spain,22495764000
2,Germany,Spain,49796586000
1,Germany,United Arab Emirates,463473000
2,Germany,United Arab Emirates,5350452000
1,Germany,Turkey,10434571000
2,Germany,Turkey,15887815000
1,Germany,United Kingdom,48502841000
2,Germany,United Kingdom,75159998000
1,Germany,USA,51928023000
2,Germany,USA,86050473000
1,Japan,Australia,24513204866
2,Japan,Australia,12418294285
1,Japan,Brazil,4421122213
2,Japan,Brazil,2712565904
1,Japan,Canada,8923738733
2,Japan,Canada,8805554909
1,Japan,China,1.08E+11
2,Japan,China,80074348387
1,Japan,France,8528450722
2,Japan,France,7805606414
1,Japan,Germany,17823015038
2,Japan,Germany,18646424017
1,Japan,Indonesia,20816730737
2,Japan,Indonesia,9214098428
1,Japan,Italy,6863260626
2,Japan,Italy,5724732994
1,Japan,Rep. of Korea,24414808131
2,Japan,Rep. of Korea,46629901958
1,Japan,Mexico,2535177653
2,Japan,Mexico,6929765482
1,Japan,Netherlands,2130467420
2,Japan,Netherlands,13123257739
1,Japan,Russian Federation,6184259025
2,Japan,Russian Federation,4488231072
1,Japan,Saudi Arabia,28721949051
2,Japan,Saudi Arabia,4174424096
1,Japan,India,3192177594
2,Japan,India,3517896643
1,Japan,Spain,1762501706
2,Japan,Spain,5185567256
1,Japan,United Arab Emirates,25322502944
2,Japan,United Arab Emirates,4845962717
1,Japan,Turkey,283116175
2,Japan,Turkey,2174256415
1,Japan,United Kingdom,6702598353
2,Japan,United Kingdom,15073381418
1,Japan,USA,65403968808
2,Japan,USA,1.36E+11
1,United Arab Emirates,Australia,997028462
2,United Arab Emirates,Australia,92004083
1,United Arab Emirates,Brazil,816267543
2,United Arab Emirates,Brazil,5636729
1,United Arab Emirates,Canada,352535597
2,United Arab Emirates,Canada,29477532
1,United Arab Emirates,China,6890998775
2,United Arab Emirates,China,304183513
1,United Arab Emirates,France,2393403860
2,United Arab Emirates,France,133446640
1,United Arab Emirates,Germany,4501771907
2,United Arab Emirates,Germany,450169770
1,United Arab Emirates,Indonesia,765410408
2,United Arab Emirates,Indonesia,110755633
1,United Arab Emirates,Italy,2321328002
2,United Arab Emirates,Italy,127772183
1,United Arab Emirates,Japan,4677113628
2,United Arab Emirates,Japan,27996957043
1,United Arab Emirates,Rep. of Korea,1769174762
2,United Arab Emirates,Rep. of Korea,64635320
1,United Arab Emirates,Mexico,52880085
2,United Arab Emirates,Mexico,2787334
1,United Arab Emirates,Netherlands,856650610
2,United Arab Emirates,Netherlands,886999954
1,United Arab Emirates,Russian Federation,551416917
2,United Arab Emirates,Russian Federation,254740979
1,United Arab Emirates,Saudi Arabia,2094147779
2,United Arab Emirates,Saudi Arabia,1056136239
1,United Arab Emirates,India,8765235408
2,United Arab Emirates,India,5346161699
1,United Arab Emirates,Spain,597605851
2,United Arab Emirates,Spain,41033770
1,United Arab Emirates,Turkey,1443149958
2,United Arab Emirates,Turkey,123916236
1,United Arab Emirates,United Kingdom,4403597859
2,United Arab Emirates,United Kingdom,283373562
1,United Arab Emirates,USA,5120092966
2,United Arab Emirates,USA,796517592
1,USA,Australia,7659316346
2,USA,Australia,15588491651
1,USA,Brazil,26217184797
2,USA,Brazil,15371577849
1,USA,Canada,2.94E+11
2,USA,Canada,2.12E+11
1,USA,China,2.60E+11
2,USA,China,41190674556
1,USA,France,34765548696
2,USA,France,22395612215
1,USA,Germany,86873024135
2,USA,Germany,34175631454
1,USA,Indonesia,12944569488
2,USA,Indonesia,3053816098
1,USA,Italy,32417743285
2,USA,Italy,11524306788
1,USA,Japan,1.42E+11
2,USA,Japan,54679310625
1,USA,Rep. of Korea,45524514518
2,USA,Rep. of Korea,27571602532
1,USA,Mexico,1.72E+11
2,USA,Mexico,1.20E+11
1,USA,Netherlands,15503289087
2,USA,Netherlands,26467737538
1,USA,Russian Federation,16177975806
2,USA,Russian Federation,3962250261
1,USA,Saudi Arabia,28927673121
2,USA,Saudi Arabia,6805402418
1,USA,India,19873206149
2,USA,India,7918597178
1,USA,Spain,9125458867
2,USA,Spain,6838877133
1,USA,United Arab Emirates,1539848018
2,USA,United Arab Emirates,8119521857
1,USA,Turkey,5591132321
2,USA,Turkey,4238966194
1,USA,United Kingdom,52337822475
2,USA,United Kingdom,38560827598
1,Australia,Australia,426518934
1,Australia,Brazil,620046867
2,Australia,Brazil,657185257
1,Australia,Canada,1530376920
2,Australia,Canada,1364331413
1,Australia,China,17341183139
2,Australia,China,12302482046
1,Australia,France,3928617376
2,Australia,France,879807801
1,Australia,Germany,6935907523
2,Australia,Germany,1031911616
1,Australia,Indonesia,2991135066
2,Australia,Indonesia,2749269948
1,Australia,Italy,3510013264
2,Australia,Italy,1145249838
1,Australia,Japan,13765147424
2,Australia,Japan,21703963590
1,Australia,Rep. of Korea,4148449571
2,Australia,Rep. of Korea,8359626573
1,Australia,Mexico,685257259
2,Australia,Mexico,637343040
1,Australia,Netherlands,1031152950
2,Australia,Netherlands,1661409817
1,Australia,Russian Federation,86762520
2,Australia,Russian Federation,253953498
1,Australia,Saudi Arabia,1100054277
2,Australia,Saudi Arabia,1468734517
1,Australia,India,995383050
2,Australia,India,5322623416
1,Australia,Spain,1035702397
2,Australia,Spain,755945735
1,Australia,United Arab Emirates,324985132
2,Australia,United Arab Emirates,937652932
1,Australia,Turkey,288905329
2,Australia,Turkey,263072744
1,Australia,United Kingdom,4899175161
2,Australia,United Kingdom,3788420958
1,Australia,USA,17460413215
2,Australia,USA,7069127457
1,Rep. of Korea,Australia,9859427105
2,Rep. of Korea,Australia,3812063148
1,Rep. of Korea,Brazil,2500784507
2,Rep. of Korea,Brazil,2410687075
1,Rep. of Korea,Canada,2603659302
2,Rep. of Korea,Canada,3446220251
1,Rep. of Korea,China,38648083132
2,Rep. of Korea,China,61914973037
1,Rep. of Korea,France,2767483039
2,Rep. of Korea,France,3286568414
1,Rep. of Korea,Germany,9772492737
2,Rep. of Korea,Germany,10303910051
1,Rep. of Korea,Indonesia,8184433394
2,Rep. of Korea,Indonesia,5045580743
1,Rep. of Korea,Italy,2777688997
2,Rep. of Korea,Italy,4296941496
1,Rep. of Korea,Japan,48403126687
2,Rep. of Korea,Japan,24027420422
1,Rep. of Korea,Mexico,459911298
2,Rep. of Korea,Mexico,3789088303
1,Rep. of Korea,Netherlands,2759155285
2,Rep. of Korea,Netherlands,3646668768
1,Rep. of Korea,Russian Federation,3936615521
2,Rep. of Korea,Russian Federation,3864169912
1,Rep. of Korea,Saudi Arabia,16105792434
2,Rep. of Korea,Saudi Arabia,2093147045
