Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,39438780145
2,China,Australia,20645566954
1,China,Brazil,28280982512
2,China,Brazil,14118518263
1,China,Canada,12026170244
2,China,Canada,17675119089
1,China,China,86413993396
1,China,France,13031124186
2,China,France,21611741188
1,China,Germany,55764084071
2,China,Germany,49919564279
1,China,Indonesia,13663782584
2,China,Indonesia,14720623749
1,China,Italy,11020282280
2,China,Italy,20243631792
1,China,Japan,1.31E+11
2,China,Japan,97910965891
1,China,Rep. of Korea,1.03E+11
2,China,Rep. of Korea,53679876608
1,China,Mexico,3881899420
2,China,Mexico,12298991353
1,China,Netherlands,5122250178
2,China,Netherlands,36682224862
1,China,Russian Federation,21282952148
2,China,Russian Federation,17513771415
1,China,Saudi Arabia,23620243562
2,China,Saudi Arabia,8977851553
1,China,India,13714288921
2,China,India,29666559641
1,China,Spain,4292253015
2,China,Spain,14077808410
1,China,United Arab Emirates,2595229265
2,China,United Arab Emirates,18632295505
1,China,Turkey,1745485488
2,China,Turkey,8333534857
1,China,United Kingdom,7877356924
2,China,United Kingdom,31277364093
1,China,USA,77755100817
2,China,USA,2.21E+11
1,Germany,Australia,2467982000
2,Germany,Australia,8786727000
1,Germany,Brazil,9794924000
2,Germany,Brazil,10082810000
1,Germany,Canada,4385254000
2,Germany,Canada,7260740000
1,Germany,China,77501267000
2,Germany,China,51092285000
1,Germany,France,75882124000
2,Germany,France,1.14E+11
1,Germany,Indonesia,3760277000
2,Germany,Indonesia,2077324000
1,Germany,Italy,55227495000
2,Germany,Italy,71167510000
1,Germany,Japan,25233986000
2,Germany,Japan,15067594000
1,Germany,Rep. of Korea,10585766000
2,Germany,Rep. of Korea,11034430000
1,Germany,Mexico,4448935000
2,Germany,Mexico,6963065000
1,Germany,Netherlands,80923432000
2,Germany,Netherlands,75366425000
1,Germany,Russian Federation,34818909000
2,Germany,Russian Federation,28602753000
1,Germany,Saudi Arabia,892878000
2,Germany,Saudi Arabia,6745169000
1,Germany,India,7089501000
2,Germany,India,11197322000
1,Germany,Spain,26786888000
2,Germany,Spain,43703475000
1,Germany,United Arab Emirates,643510000
2,Germany,United Arab Emirates,8514564000
1,Germany,Turkey,11514649000
2,Germany,Turkey,16143627000
1,Germany,United Kingdom,46223811000
2,Germany,United Kingdom,74226631000
1,Germany,USA,55375687000
2,Germany,USA,75017390000
1,Japan,Australia,34751479227
2,Japan,Australia,12168640808
1,Japan,Brazil,6351163503
2,Japan,Brazil,4234918550
1,Japan,Canada,9191204300
2,Japan,Canada,7748128414
1,Japan,China,1.23E+11
2,Japan,China,1.10E+11
1,Japan,France,9160757118
2,Japan,France,6213708314
1,Japan,Germany,16756897504
2,Japan,Germany,16653366310
1,Japan,Indonesia,21839164021
2,Japan,Indonesia,9323201655
1,Japan,Italy,6372368816
2,Japan,Italy,4803932540
1,Japan,Rep. of Korea,21983612029
2,Japan,Rep. of Korea,47273085308
1,Japan,Mexico,2798507720
2,Japan,Mexico,6824115513
1,Japan,Netherlands,3460312506
2,Japan,Netherlands,13510443673
1,Japan,Russian Federation,8847997987
2,Japan,Russian Federation,3285882658
1,Japan,Saudi Arabia,29150984173
2,Japan,Saudi Arabia,5384681214
1,Japan,India,3728109804
2,Japan,India,6338462114
1,Japan,Spain,2348536297
2,Japan,Spain,2591426868
1,Japan,United Arab Emirates,22665337939
2,Japan,United Arab Emirates,6489710154
1,Japan,Turkey,400390342
2,Japan,Turkey,1602985085
1,Japan,United Kingdom,5690461767
2,Japan,United Kingdom,11814501506
1,Japan,USA,60590108582
2,Japan,USA,95302741166
1,United Arab Emirates,Australia,1733265116
2,United Arab Emirates,Australia,137063552
1,United Arab Emirates,Brazil,1021147915
2,United Arab Emirates,Brazil,69903390
1,United Arab Emirates,Canada,1177326878
2,United Arab Emirates,Canada,86322523
1,United Arab Emirates,China,13022623646
2,United Arab Emirates,China,417776306
1,United Arab Emirates,France,3821097433
2,United Arab Emirates,France,244751909
1,United Arab Emirates,Germany,8168271298
2,United Arab Emirates,Germany,281319908
1,United Arab Emirates,Indonesia,1338118398
2,United Arab Emirates,Indonesia,46424576
1,United Arab Emirates,Italy,4742714832
2,United Arab Emirates,Italy,419534116
1,United Arab Emirates,Japan,7325711533
2,United Arab Emirates,Japan,82065299
1,United Arab Emirates,Rep. of Korea,4893491727
2,United Arab Emirates,Rep. of Korea,74458039
1,United Arab Emirates,Mexico,375532362
2,United Arab Emirates,Mexico,8578347
1,United Arab Emirates,Netherlands,1307211470
2,United Arab Emirates,Netherlands,205951320
1,United Arab Emirates,Russian Federation,473910182
2,United Arab Emirates,Russian Federation,253168504
1,United Arab Emirates,Saudi Arabia,3316340984
2,United Arab Emirates,Saudi Arabia,2524951928
1,United Arab Emirates,India,16763732306
2,United Arab Emirates,India,12660853960
1,United Arab Emirates,Spain,1060782416
2,United Arab Emirates,Spain,58175224
1,United Arab Emirates,Turkey,2549299559
2,United Arab Emirates,Turkey,298601194
1,United Arab Emirates,United Kingdom,5108952814
2,United Arab Emirates,United Kingdom,422376803
1,United Arab Emirates,USA,11313398551
2,United Arab Emirates,USA,904986331
1,USA,Australia,8220815311
2,USA,Australia,19596998319
1,USA,Brazil,21017804644
2,USA,Brazil,26175324386
1,USA,Canada,2.28E+11
2,USA,Canada,2.05E+11
1,USA,China,3.10E+11
2,USA,China,69575613274
1,USA,France,34582355372
2,USA,France,27043697294
1,USA,Germany,72632756092
2,USA,Germany,43220924954
1,USA,Indonesia,13650990753
2,USA,Indonesia,5106426282
1,USA,Italy,27275830871
2,USA,Italy,12232372420
1,USA,Japan,98401031288
2,USA,Japan,51178320341
1,USA,Rep. of Korea,40543872268
2,USA,Rep. of Korea,28639747634
1,USA,Mexico,1.78E+11
2,USA,Mexico,1.29E+11
1,USA,Netherlands,16573999196
2,USA,Netherlands,32346735106
1,USA,Russian Federation,18993424402
2,USA,Russian Federation,5382808391
1,USA,Saudi Arabia,23243140457
2,USA,Saudi Arabia,10803683538
1,USA,India,22042749853
2,USA,India,16462437103
1,USA,Spain,8190323367
2,USA,Spain,8750694727
1,USA,United Arab Emirates,1565393403
2,USA,United Arab Emirates,12106581438
1,USA,Turkey,3856853638
2,USA,Turkey,7088986583
1,USA,United Kingdom,48249946912
2,USA,United Kingdom,45707871116
1,Australia,Australia,677174158
1,Australia,Brazil,534183872
2,Australia,Brazil,723462714
1,Australia,Canada,1585440673
2,Australia,Canada,1124964438
1,Australia,China,29211722243
2,Australia,China,33389244430
1,Australia,France,3321695391
2,Australia,France,968149388
1,Australia,Germany,8623970189
2,Australia,Germany,1032357985
1,Australia,Indonesia,3654319358
2,Australia,Indonesia,3250128883
1,Australia,Italy,3975279387
2,Australia,Italy,794614076
1,Australia,Japan,13476040134
2,Australia,Japan,30014166312
1,Australia,Rep. of Korea,5293359763
2,Australia,Rep. of Korea,12281988992
1,Australia,Mexico,1002823413
2,Australia,Mexico,654620804
1,Australia,Netherlands,1250156536
2,Australia,Netherlands,1581782084
1,Australia,Russian Federation,301243482
2,Australia,Russian Federation,457469316
1,Australia,Saudi Arabia,435684544
2,Australia,Saudi Arabia,1353945827
1,Australia,India,1667570480
2,Australia,India,11363671476
1,Australia,Spain,1313176388
2,Australia,Spain,305891552
1,Australia,United Arab Emirates,1736288484
2,Australia,United Arab Emirates,1650353131
1,Australia,Turkey,374523649
2,Australia,Turkey,238251250
1,Australia,United Kingdom,5044259764
2,Australia,United Kingdom,7076845041
1,Australia,USA,18669858038
2,Australia,USA,7467440941
1,Rep. of Korea,Australia,14755930701
2,Rep. of Korea,Australia,5243141192
1,Rep. of Korea,Brazil,3743503108
2,Rep. of Korea,Brazil,5311209758
1,Rep. of Korea,Canada,3534785518
2,Rep. of Korea,Canada,3439569880
1,Rep. of Korea,China,54245677647
2,Rep. of Korea,China,86703245378
1,Rep. of Korea,France,4013561024
2,Rep. of Korea,France,2943709020
1,Rep. of Korea,Germany,12297619307
2,Rep. of Korea,Germany,8820792677
1,Rep. of Korea,Indonesia,9264133572
2,Rep. of Korea,Indonesia,5999879150
1,Rep. of Korea,Italy,3512912835
2,Rep. of Korea,Italy,2797342193
1,Rep. of Korea,Japan,49427291028
2,Rep. of Korea,Japan,21770815153
1,Rep. of Korea,Mexico,971992303
2,Rep. of Korea,Mexico,7132759531
1,Rep. of Korea,Netherlands,2059773952
2,Rep. of Korea,Netherlands,4527505999
1,Rep. of Korea,Russian Federation,5788759295
2,Rep. of Korea,Russian Federation,4194066397
1,Rep. of Korea,Saudi Arabia,19736848143
2,Rep. of Korea,Saudi Arabia,3856581856
1,Rep. of Korea,India,4141621968
2,Rep. of Korea,India,8013290496
1,Rep. of Korea,Spain,875666874
2,Rep. of Korea,Spain,1737082200
1,Rep. of Korea,United Arab Emirates,9310020652
2,Rep. of Korea,United Arab Emirates,4977750888
1,Rep. of Korea,Turkey,434435032
2,Rep. of Korea,Turkey,2660688111
1,Rep. of Korea,United Kingdom,2895597483
2,Rep. of Korea,United Kingdom,3796532631
1,Rep. of Korea,USA,29160307242
2,Rep. of Korea,USA,37802594458
1,Mexico,Australia,787755605
2,Mexico,Australia,515045151
1,Mexico,Brazil,3495275120
2,Mexico,Brazil,2438207947
1,Mexico,Canada,7303741526
2,Mexico,Canada,8236476001
1,Mexico,China,32528971963
2,Mexico,China,2207792861
1,Mexico,France,2507086412
2,Mexico,France,498661274
1,Mexico,Germany,9727216789
2,Mexico,Germany,3191052939
1,Mexico,Indonesia,853624772
2,Mexico,Indonesia,77255144
1,Mexico,Italy,3146738889
2,Mexico,Italy,516404061
1,Mexico,Japan,11397111010
2,Mexico,Japan,1600571460
1,Mexico,Rep. of Korea,10946193620
2,Mexico,Rep. of Korea,498752027
1,Mexico,Netherlands,2170939525
2,Mexico,Netherlands,1693840950
1,Mexico,Russian Federation,468780144
2,Mexico,Russian Federation,39250235
1,Mexico,Saudi Arabia,380110490
2,Mexico,Saudi Arabia,132190133
1,Mexico,India,1139536057
2,Mexico,India,1111574574
1,Mexico,Spain,3004042060
2,Mexico,Spain,2507825737
1,Mexico,United Arab Emirates,45760015
2,Mexico,United Arab Emirates,326487121
1,Mexico,Turkey,225485140
2,Mexico,Turkey,66653622
1,Mexico,United Kingdom,1837826821
2,Mexico,United Kingdom,1242898466
1,Mexico,USA,1.13E+11
2,Mexico,USA,1.85E+11
1,Russian Federation,Australia,585276690
2,Russian Federation,Australia,54524300
1,Russian Federation,Brazil,3510000000
2,Russian Federation,Brazil,1083000000
1,Russian Federation,Canada,1215141344
2,Russian Federation,Canada,489000000
1,Russian Federation,China,22859880130
2,Russian Federation,China,16669000000
1,Russian Federation,France,8430082785
2,Russian Federation,France,8750918234
1,Russian Federation,Germany,21221887011
2,Russian Federation,Germany,18708181984
1,Russian Federation,Indonesia,640696712
2,Russian Federation,Indonesia,283205006
1,Russian Federation,Italy,7884000000
2,Russian Federation,Italy,25060000000
1,Russian Federation,Japan,7255705809
2,Russian Federation,Japan,7262992716
1,Russian Federation,Rep. of Korea,4867899482
2,Russian Federation,Rep. of Korea,5689000000
1,Russian Federation,Mexico,259499354
2,Russian Federation,Mexico,363000000
1,Russian Federation,Netherlands,3585005464
2,Russian Federation,Netherlands,36289884164
1,Russian Federation,Saudi Arabia,28356597
2,Russian Federation,Saudi Arabia,333493450
1,Russian Federation,India,1524454878
2,Russian Federation,India,5937000000
1,Russian Federation,Spain,2276937590
2,Russian Federation,Spain,2892000000
1,Russian Federation,United Arab Emirates,27100000
2,Russian Federation,United Arab Emirates,636000000
1,Russian Federation,Turkey,3221933165
2,Russian Federation,Turkey,16385000000
1,Russian Federation,United Kingdom,7057329677
2,Russian Federation,United Kingdom,9073000000
1,Russian Federation,USA,9203767218
2,Russian Federation,USA,9286430540
1,Spain,Australia,590207581
2,Spain,Australia,1164502571
1,Spain,Brazil,3169519818
2,Spain,Brazil,1877532315
1,Spain,Canada,1140240185
2,Spain,Canada,1010550814
