Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,84568208584
2,China,Australia,37734919542
1,China,Brazil,52281126771
2,China,Brazil,33413633342
1,China,Canada,23209147824
2,China,Canada,28125194109
1,China,China,1.43E+11
1,China,France,24124459639
2,China,France,27195962720
1,China,Germany,91933080631
2,China,Germany,69212732296
1,China,Indonesia,31935986395
2,China,Indonesia,34285243915
1,China,Italy,16064755279
2,China,Italy,25656013136
1,China,Japan,1.78E+11
2,China,Japan,1.52E+11
1,China,Rep. of Korea,1.69E+11
2,China,Rep. of Korea,87673764182
1,China,Mexico,9161024573
2,China,Mexico,27517962691
1,China,Netherlands,8703962287
2,China,Netherlands,58898784960
1,China,Russian Federation,44138278872
2,China,Russian Federation,44056551091
1,China,Saudi Arabia,54861126276
2,China,Saudi Arabia,18452900814
1,China,India,18797190537
2,China,India,47677451834
1,China,Spain,6334673435
2,China,Spain,18240173784
1,China,United Arab Emirates,10851923958
2,China,United Arab Emirates,29568342622
1,China,Turkey,3511810027
2,China,Turkey,15585293352
1,China,United Kingdom,16801246807
2,China,United Kingdom,46296692725
1,China,USA,1.34E+11
2,China,USA,3.52E+11
1,Germany,Australia,3591745865
2,Germany,Australia,12077788607
1,Germany,Brazil,13505308224
2,Germany,Brazil,15165416090
1,Germany,Canada,5502310889
2,Germany,Canada,11585225861
1,Germany,China,1.02E+11
2,Germany,China,86101711432
1,Germany,France,81826805413
2,Germany,France,1.32E+11
1,Germany,Indonesia,5210467764
2,Germany,Indonesia,4140121634
1,Germany,Italy,61621583089
2,Germany,Italy,71332552911
1,Germany,Japan,29960902546
2,Germany,Japan,22236634896
1,Germany,Rep. of Korea,10969241802
2,Germany,Rep. of Korea,17104436418
1,Germany,Mexico,5616998065
2,Germany,Mexico,11445931921
1,Germany,Netherlands,1.10E+11
2,Germany,Netherlands,90323744365
1,Germany,Russian Federation,54971436758
2,Germany,Russian Federation,50180471490
1,Germany,Saudi Arabia,2225423825
2,Germany,Saudi Arabia,10627853270
1,Germany,India,9169346033
2,Germany,India,13445408359
1,Germany,Spain,29824486402
2,Germany,Spain,39910446791
1,Germany,United Arab Emirates,1053987708
2,Germany,United Arab Emirates,12718841830
1,Germany,Turkey,15524502683
2,Germany,Turkey,25951070385
1,Germany,United Kingdom,53288009711
2,Germany,United Kingdom,91023529293
1,Germany,USA,67187705396
2,Germany,USA,1.12E+11
1,Japan,Australia,56449991809
2,Japan,Australia,18425371831
1,Japan,Brazil,11932309747
2,Japan,Brazil,5925732369
1,Japan,Canada,12690506539
2,Japan,Canada,10259055626
1,Japan,China,1.89E+11
2,Japan,China,1.44E+11
1,Japan,France,12838171463
2,Japan,France,6700046030
1,Japan,Germany,24713995213
2,Japan,Germany,20795607965
1,Japan,Indonesia,32293204692
2,Japan,Indonesia,20278613976
1,Japan,Italy,9583039152
2,Japan,Italy,3660247740
1,Japan,Rep. of Korea,40532146635
2,Japan,Rep. of Korea,61527648357
1,Japan,Mexico,4404159660
2,Japan,Mexico,10572159658
1,Japan,Netherlands,4914238876
2,Japan,Netherlands,16156427599
1,Japan,Russian Federation,20808820677
2,Japan,Russian Federation,12591434627
1,Japan,Saudi Arabia,54850069984
2,Japan,Saudi Arabia,8228299773
1,Japan,India,7000142025
2,Japan,India,10590545869
1,Japan,Spain,3821451876
2,Japan,Spain,2440798071
1,Japan,United Arab Emirates,43989642803
2,Japan,United Arab Emirates,8964398054
1,Japan,Turkey,574834791
2,Japan,Turkey,2413735122
1,Japan,United Kingdom,7300646236
2,Japan,United Kingdom,13337751136
1,Japan,USA,78216398539
2,Japan,USA,1.42E+11
1,United Arab Emirates,Australia,2310307760
2,United Arab Emirates,Australia,365219057
1,United Arab Emirates,Brazil,2735290445
2,United Arab Emirates,Brazil,108652791
1,United Arab Emirates,Canada,1806813063
2,United Arab Emirates,Canada,123092025
1,United Arab Emirates,China,31897618111
2,United Arab Emirates,China,2184696547
1,United Arab Emirates,France,5876946098
2,United Arab Emirates,France,461090440
1,United Arab Emirates,Germany,12029348095
2,United Arab Emirates,Germany,745542166
1,United Arab Emirates,Indonesia,1895968967
2,United Arab Emirates,Indonesia,223011418
1,United Arab Emirates,Italy,7785178597
2,United Arab Emirates,Italy,557063576
1,United Arab Emirates,Japan,13678155668
2,United Arab Emirates,Japan,401261698
1,United Arab Emirates,Rep. of Korea,9770892181
2,United Arab Emirates,Rep. of Korea,259711954
1,United Arab Emirates,Mexico,1431916453
2,United Arab Emirates,Mexico,52800589
1,United Arab Emirates,Netherlands,1787908427
2,United Arab Emirates,Netherlands,840898255
1,United Arab Emirates,Russian Federation,1203964678
2,United Arab Emirates,Russian Federation,521334218
1,United Arab Emirates,Saudi Arabia,4939847240
2,United Arab Emirates,Saudi Arabia,12703086337
1,United Arab Emirates,India,25533300223
2,United Arab Emirates,India,23361303553
1,United Arab Emirates,Spain,2054357298
2,United Arab Emirates,Spain,209935608
1,United Arab Emirates,Turkey,9578186400
2,United Arab Emirates,Turkey,3775772501
1,United Arab Emirates,United Kingdom,7379371480
2,United Arab Emirates,United Kingdom,1874554758
1,United Arab Emirates,USA,23561601633
2,United Arab Emirates,USA,2205371173
1,USA,Australia,9673186809
2,USA,Australia,31145106750
1,USA,Brazil,33254643141
2,USA,Brazil,43771024012
1,USA,Canada,3.28E+11
2,USA,Canada,2.93E+11
1,USA,China,4.44E+11
2,USA,China,1.11E+11
1,USA,France,42533569567
2,USA,France,31925499802
1,USA,Germany,1.11E+11
2,USA,Germany,48372035059
1,USA,Indonesia,18845046310
2,USA,Indonesia,7997976489
1,USA,Italy,38179400506
2,USA,Italy,16096249448
1,USA,Japan,1.50E+11
2,USA,Japan,69971994968
1,USA,Rep. of Korea,60997692665
2,USA,Rep. of Korea,42282528918
1,USA,Mexico,2.80E+11
2,USA,Mexico,2.16E+11
1,USA,Netherlands,22897908459
2,USA,Netherlands,40617368158
1,USA,Russian Federation,30232470771
2,USA,Russian Federation,10695291383
1,USA,Saudi Arabia,57327161821
2,USA,Saudi Arabia,17961238469
1,USA,India,41904468276
2,USA,India,22105715150
1,USA,Spain,12199506803
2,USA,Spain,9551878628
1,USA,United Arab Emirates,2326199501
2,USA,United Arab Emirates,22552553308
1,USA,Turkey,6614586187
2,USA,Turkey,12474727209
1,USA,United Kingdom,56004751199
2,USA,United Kingdom,54853629477
1,Brazil,Australia,1288072860
2,Brazil,Australia,504660764
1,Brazil,Canada,3073581389
2,Brazil,Canada,3079926642
1,Brazil,China,34251273049
2,Brazil,China,41227540253
1,Brazil,France,5918676493
2,Brazil,France,4139357423
1,Brazil,Germany,14211671011
2,Brazil,Germany,7277061407
1,Brazil,Indonesia,1735848039
2,Brazil,Indonesia,2001994448
1,Brazil,Italy,6201528863
2,Brazil,Italy,4580695491
1,Brazil,Japan,7735456108
2,Brazil,Japan,7955713348
1,Brazil,Rep. of Korea,9098526199
2,Brazil,Rep. of Korea,4501090479
1,Brazil,Mexico,6074916685
2,Brazil,Mexico,4003013124
1,Brazil,Netherlands,3106838546
2,Brazil,Netherlands,15040703654
1,Brazil,Russian Federation,2790721191
2,Brazil,Russian Federation,3140815887
1,Brazil,Saudi Arabia,3196828700
2,Brazil,Saudi Arabia,3000113126
1,Brazil,India,5042827722
2,Brazil,India,5576930397
1,Brazil,Spain,3543457025
2,Brazil,Spain,3688731614
1,Brazil,United Arab Emirates,309673004
2,Brazil,United Arab Emirates,2456755780
1,Brazil,Turkey,964112680
2,Brazil,Turkey,1207133102
1,Brazil,United Kingdom,3507514149
2,Brazil,United Kingdom,4519432490
1,Brazil,USA,32613578189
2,Brazil,USA,26849876493
1,Canada,Australia,2081251713
2,Canada,Australia,2040683664
1,Canada,Brazil,3971087658
2,Canada,Brazil,2608246191
1,Canada,Canada,3380585388
1,Canada,China,50764771704
2,Canada,China,19383182171
1,Canada,France,5020415248
2,Canada,France,3384794910
1,Canada,Germany,14310174700
2,Canada,Germany,3400976383
1,Canada,Indonesia,1314989667
2,Canada,Indonesia,1682879536
1,Canada,Italy,5228623431
2,Canada,Italy,1709322846
1,Canada,Japan,15038600523
2,Canada,Japan,10350578329
1,Canada,Rep. of Korea,6377843074
2,Canada,Rep. of Korea,3717990343
1,Canada,Mexico,25535745171
2,Canada,Mexico,5391279628
1,Canada,Netherlands,3550750148
2,Canada,Netherlands,4562424303
1,Canada,Russian Federation,995383187
2,Canada,Russian Federation,1653352421
1,Canada,Saudi Arabia,2851533965
2,Canada,Saudi Arabia,1386440563
1,Canada,India,2858998118
2,Canada,India,2362840617
1,Canada,Spain,1749818161
2,Canada,Spain,920125818
