Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,98954088026
2,China,Australia,37554163210
1,China,Brazil,54299122653
2,China,Brazil,35895471244
1,China,Canada,25236970650
2,China,Canada,29216715384
1,China,China,1.58E+11
1,China,France,23119289346
2,China,France,26948465912
1,China,Germany,94156749710
2,China,Germany,67342500439
1,China,Indonesia,31424278600
2,China,Indonesia,36930489821
1,China,Italy,17573805100
2,China,Italy,25752660052
1,China,Japan,1.62E+11
2,China,Japan,1.50E+11
1,China,Rep. of Korea,1.83E+11
2,China,Rep. of Korea,91164951035
1,China,Mexico,10238485563
2,China,Mexico,28966299976
1,China,Netherlands,9824959200
2,China,Netherlands,60314751572
1,China,Russian Federation,39667828205
2,China,Russian Federation,49591171963
1,China,Saudi Arabia,53450710541
2,China,Saudi Arabia,18739813766
1,China,India,16970269592
2,China,India,48432411237
1,China,Spain,5971877584
2,China,Spain,18931672371
1,China,United Arab Emirates,12823525641
2,China,United Arab Emirates,33411294711
1,China,Turkey,4486234345
2,China,Turkey,17746990917
1,China,United Kingdom,19078787545
2,China,United Kingdom,50942127633
1,China,USA,1.53E+11
2,China,USA,3.69E+11
1,Germany,Australia,2951708070
2,Germany,Australia,11441547170
1,Germany,Brazil,11721493330
2,Germany,Brazil,15148017203
1,Germany,Canada,5456366653
2,Germany,Canada,11867697710
1,Germany,China,1.00E+11
2,Germany,China,89317190643
1,Germany,France,84298238902
2,Germany,France,1.32E+11
1,Germany,Indonesia,4831146355
2,Germany,Indonesia,4163946604
1,Germany,Italy,62288168131
2,Germany,Italy,70661990577
1,Germany,Japan,27492259084
2,Germany,Japan,22872792138
1,Germany,Rep. of Korea,10754005249
2,Germany,Rep. of Korea,19089753516
1,Germany,Mexico,5246945987
2,Germany,Mexico,11947840731
1,Germany,Netherlands,1.18E+11
2,Germany,Netherlands,94250926564
1,Germany,Russian Federation,55102517564
2,Germany,Russian Federation,48739010261
1,Germany,Saudi Arabia,2236710883
2,Germany,Saudi Arabia,12338595698
1,Germany,India,9408372848
2,Germany,India,12219923588
1,Germany,Spain,31378254314
2,Germany,Spain,41635953141
1,Germany,United Arab Emirates,1087403506
2,Germany,United Arab Emirates,13241727250
1,Germany,Turkey,16351152520
2,Germany,Turkey,29002369911
1,Germany,United Kingdom,52379713411
2,Germany,United Kingdom,94641874345
1,Germany,USA,66556685058
2,Germany,USA,1.19E+11
1,Japan,Australia,51026036092
2,Japan,Australia,16969964159
1,Japan,Brazil,11135991957
2,Japan,Brazil,5659958173
1,Japan,Canada,11965833690
2,Japan,Canada,8689710838
1,Japan,China,1.81E+11
2,Japan,China,1.29E+11
1,Japan,France,11669664200
2,Japan,France,6304548482
1,Japan,Germany,23830400731
2,Japan,Germany,18959229516
1,Japan,Indonesia,28882002720
2,Japan,Indonesia,17031561555
1,Japan,Italy,9544093577
2,Japan,Italy,3272318305
1,Japan,Rep. of Korea,35822436154
2,Japan,Rep. of Korea,56513453068
1,Japan,Mexico,4230382356
2,Japan,Mexico,9691272996
1,Japan,Netherlands,4509154601
2,Japan,Netherlands,13908383527
1,Japan,Russian Federation,23653100271
2,Japan,Russian Federation,10957793252
1,Japan,Saudi Arabia,49856199031
2,Japan,Saudi Arabia,6847345243
1,Japan,India,7072378314
2,Japan,India,8593031974
1,Japan,Spain,3746765988
2,Japan,Spain,2094074084
1,Japan,United Arab Emirates,42527755023
2,Japan,United Arab Emirates,8507588363
1,Japan,Turkey,598658570
2,Japan,Turkey,2315154014
1,Japan,United Kingdom,6570020740
2,Japan,United Kingdom,11105603257
1,Japan,USA,71958767380
2,Japan,USA,1.35E+11
1,United Arab Emirates,Australia,2753161862
2,United Arab Emirates,Australia,351480076
1,United Arab Emirates,Brazil,2638645987
2,United Arab Emirates,Brazil,173754866
1,United Arab Emirates,Canada,2666474260
2,United Arab Emirates,Canada,157278335
1,United Arab Emirates,China,36394413958
2,United Arab Emirates,China,1996291730
1,United Arab Emirates,France,6196023021
2,United Arab Emirates,France,508690015
1,United Arab Emirates,Germany,12545712289
2,United Arab Emirates,Germany,958136898
1,United Arab Emirates,Indonesia,1986417923
2,United Arab Emirates,Indonesia,267220219
1,United Arab Emirates,Italy,7110099080
2,United Arab Emirates,Italy,487347308
1,United Arab Emirates,Japan,14172456075
2,United Arab Emirates,Japan,506390225
1,United Arab Emirates,Rep. of Korea,8012839814
2,United Arab Emirates,Rep. of Korea,424265794
