Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,19323299466
2,China,Australia,13624882168
1,China,Brazil,12909495161
2,China,Brazil,7380105731
1,China,Canada,7662114176
2,China,Canada,15516844612
1,China,China,73332834178
1,China,France,11288721815
2,China,France,13978873746
1,China,Germany,37879365204
2,China,Germany,40314598128
1,China,Indonesia,9605743215
2,China,Indonesia,9449711801
1,China,Italy,8600427622
2,China,Italy,15977188051
1,China,Japan,1.16E+11
2,China,Japan,91622673330
1,China,Rep. of Korea,89724142142
2,China,Rep. of Korea,44522206859
1,China,Mexico,2607102793
2,China,Mexico,8823554228
1,China,Netherlands,3650066874
2,China,Netherlands,30861137796
1,China,Russian Federation,17554327123
2,China,Russian Federation,15832487030
1,China,Saudi Arabia,15084532094
2,China,Saudi Arabia,5055833989
1,China,India,10277448538
2,China,India,14581297367
1,China,Spain,3003141507
2,China,Spain,11545364553
1,China,United Arab Emirates,2796745203
2,China,United Arab Emirates,11404780331
1,China,Turkey,765951559
2,China,Turkey,7303284863
1,China,United Kingdom,6506395471
2,China,United Kingdom,24163209027
1,China,USA,59314269712
2,China,USA,2.04E+11
1,Germany,Australia,2062064000
2,Germany,Australia,6900683000
1,Germany,Brazil,8913089000
2,Germany,Brazil,7419980000
1,Germany,Canada,5025723000
2,Germany,Canada,8102181000
1,Germany,China,62805681000
2,Germany,China,34596026000
1,Germany,France,78032709000
2,Germany,France,1.07E+11
1,Germany,Indonesia,3527820000
2,Germany,Indonesia,1915573000
1,Germany,Italy,52122536000
2,Germany,Italy,74568764000
1,Germany,Japan,30161029000
2,Germany,Japan,17424016000
1,Germany,Rep. of Korea,14415743000
2,Germany,Rep. of Korea,10659179000
1,Germany,Mexico,3787160000
2,Germany,Mexico,8041438000
1,Germany,Netherlands,76303973000
2,Germany,Netherlands,71001811000
1,Germany,Russian Federation,37674339000
2,Germany,Russian Federation,29457553000
1,Germany,Saudi Arabia,2040563000
2,Germany,Saudi Arabia,5846064000
1,Germany,India,5294761000
2,Germany,India,8004414000
1,Germany,Spain,24902610000
2,Germany,Spain,52472241000
1,Germany,United Arab Emirates,585161000
2,Germany,United Arab Emirates,6804934000
1,Germany,Turkey,11591993000
2,Germany,Turkey,18076790000
1,Germany,United Kingdom,51301357000
2,Germany,United Kingdom,81235846000
1,Germany,USA,61792385000
2,Germany,USA,98010962000
1,Japan,Australia,27927415055
2,Japan,Australia,12489136251
1,Japan,Brazil,5084301374
2,Japan,Brazil,3044768595
1,Japan,Canada,9616385133
2,Japan,Canada,9956230383
1,Japan,China,1.19E+11
2,Japan,China,92769551020
1,Japan,France,8984656883
2,Japan,France,7666528623
1,Japan,Germany,18455301635
2,Japan,Germany,20417587687
1,Japan,Indonesia,24135022583
2,Japan,Indonesia,7372338295
1,Japan,Italy,7031763957
2,Japan,Italy,6427606766
1,Japan,Rep. of Korea,27328400354
2,Japan,Rep. of Korea,50270020226
1,Japan,Mexico,2824693152
2,Japan,Mexico,9276275583
1,Japan,Netherlands,2175913889
2,Japan,Netherlands,14729834789
1,Japan,Russian Federation,6659124284
2,Japan,Russian Federation,7059427810
1,Japan,Saudi Arabia,37191495895
2,Japan,Saudi Arabia,4642475208
1,Japan,India,4054993466
2,Japan,India,4452962959
1,Japan,Spain,1942922234
2,Japan,Spain,5735506127
1,Japan,United Arab Emirates,31575378865
2,Japan,United Arab Emirates,6047107900
1,Japan,Turkey,359287863
2,Japan,Turkey,2380743749
1,Japan,United Kingdom,6712186325
2,Japan,United Kingdom,15211178182
1,Japan,USA,69384707246
2,Japan,USA,1.47E+11
1,United Arab Emirates,Australia,1431783429
2,United Arab Emirates,Australia,103866908
1,United Arab Emirates,Brazil,1060084389
2,United Arab Emirates,Brazil,10038105
1,United Arab Emirates,Canada,535937746
2,United Arab Emirates,Canada,31893435
1,United Arab Emirates,China,8502838236
2,United Arab Emirates,China,374370984
1,United Arab Emirates,France,2408645079
2,United Arab Emirates,France,644756649
1,United Arab Emirates,Germany,5945871560
2,United Arab Emirates,Germany,242850270
1,United Arab Emirates,Indonesia,850760801
2,United Arab Emirates,Indonesia,145015501
1,United Arab Emirates,Italy,3360694548
2,United Arab Emirates,Italy,92040279
1,United Arab Emirates,Japan,5833493825
2,United Arab Emirates,Japan,36380073366
1,United Arab Emirates,Rep. of Korea,2072066605
2,United Arab Emirates,Rep. of Korea,71560731
1,United Arab Emirates,Mexico,103787244
2,United Arab Emirates,Mexico,4081159
1,United Arab Emirates,Netherlands,984499699
2,United Arab Emirates,Netherlands,201696528
