Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,5425925470
2,China,Australia,3569445889
1,China,Brazil,2347232533
2,China,Brazil,1350925018
1,China,Canada,4027798934
2,China,Canada,3345577043
1,China,France,4106236413
2,China,France,3701082564
1,China,Germany,13772189970
2,China,Germany,9751099988
1,China,Indonesia,3887887101
2,China,Indonesia,2835706342
1,China,Italy,3784278356
2,China,Italy,3991554910
1,China,Japan,42787308141
2,China,Japan,44940523792
1,China,Rep. of Korea,23376945399
2,China,Rep. of Korea,12518777838
1,China,Mexico,761275612
2,China,Mexico,1790216774
1,China,Netherlands,1456696166
2,China,Netherlands,7278426893
1,China,Russian Federation,7958794510
2,China,Russian Federation,2710471970
1,China,Saudi Arabia,2715895298
2,China,Saudi Arabia,1354114676
1,China,India,1699093454
2,China,India,1895832787
1,China,Spain,714406689
2,China,Spain,2296288991
1,China,United Arab Emirates,447609537
2,China,United Arab Emirates,2377322092
1,China,Turkey,230937591
2,China,Turkey,674006603
1,China,United Kingdom,3526938584
2,China,United Kingdom,6780522858
1,China,USA,26217375157
2,China,USA,54355080203
1,Germany,Australia,1043667000
2,Germany,Australia,3196680000
1,Germany,Brazil,3650909000
2,Germany,Brazil,5027010000
1,Germany,Canada,2915215000
2,Germany,Canada,4585309000
1,Germany,China,17689098000
2,Germany,China,10714927000
1,Germany,France,44218349000
2,Germany,France,61235632000
1,Germany,Indonesia,2138678000
2,Germany,Indonesia,1281348000
1,Germany,Italy,31300599000
2,Germany,Italy,41349910000
1,Germany,Japan,20370217000
2,Germany,Japan,11403153000
1,Germany,Rep. of Korea,4348738000
2,Germany,Rep. of Korea,3999004000
1,Germany,Mexico,1384541000
2,Germany,Mexico,4742523000
1,Germany,Netherlands,35622414000
2,Germany,Netherlands,34007128000
1,Germany,Russian Federation,8716694000
2,Germany,Russian Federation,9034941000
1,Germany,Saudi Arabia,848209000
2,Germany,Saudi Arabia,2661451000
1,Germany,India,2245142000
2,Germany,India,2016964000
1,Germany,Spain,13533889000
2,Germany,Spain,24501741000
1,Germany,United Arab Emirates,129765000
2,Germany,United Arab Emirates,2546395000
1,Germany,Turkey,5823264000
2,Germany,Turkey,5180828000
1,Germany,United Kingdom,32813932000
2,Germany,United Kingdom,46392573000
1,Germany,USA,39831645000
2,Germany,USA,59613961000
1,Japan,Australia,14459593823
2,Japan,Australia,7684718499
1,Japan,Brazil,2539652704
2,Japan,Brazil,2474447777
1,Japan,Canada,7753000295
2,Japan,Canada,6564225061
1,Japan,China,57864680994
2,Japan,China,30994259745
1,Japan,France,6182598205
2,Japan,France,6281121292
1,Japan,Germany,12400249149
2,Japan,Germany,15619649873
1,Japan,Indonesia,14869378812
2,Japan,Indonesia,6404392531
1,Japan,Italy,5393744555
2,Japan,Italy,4814306345
1,Japan,Rep. of Korea,17197610754
2,Japan,Rep. of Korea,25296856343
1,Japan,Mexico,2006562705
2,Japan,Mexico,4092755176
1,Japan,Netherlands,1865160978
2,Japan,Netherlands,11472440184
1,Japan,Russian Federation,3857427229
2,Japan,Russian Federation,716612879
1,Japan,Saudi Arabia,12322021186
2,Japan,Saudi Arabia,3599851647
1,Japan,India,2217680724
2,Japan,India,1924663629
1,Japan,Spain,1288124217
2,Japan,Spain,2709309721
1,Japan,United Arab Emirates,12845405085
2,Japan,United Arab Emirates,2565260046
1,Japan,Turkey,153705904
2,Japan,Turkey,735512360
1,Japan,United Kingdom,6003450112
2,Japan,United Kingdom,12146534226
1,Japan,USA,63756681975
2,Japan,USA,1.23E+11
1,United Arab Emirates,Australia,646557076
2,United Arab Emirates,Australia,19596439
1,United Arab Emirates,Brazil,181140392
2,United Arab Emirates,Brazil,989705
1,United Arab Emirates,Canada,163019848
2,United Arab Emirates,Canada,63021827
1,United Arab Emirates,China,2240402136
2,United Arab Emirates,China,72136771
1,United Arab Emirates,France,1769001595
2,United Arab Emirates,France,56647615
1,United Arab Emirates,Germany,2249565381
2,United Arab Emirates,Germany,97988390
