Trade Flow,Reporter,Partner,Trade Value (US$)
1,Indonesia,Australia,5647502357
2,Indonesia,Australia,4962452276
1,Indonesia,Brazil,2553533203
2,Indonesia,Brazil,1498199370
1,Indonesia,Canada,1860197888
2,Indonesia,Canada,755021284
1,Indonesia,China,30624380094
2,Indonesia,China,17605944452
1,Indonesia,France,1335157996
2,Indonesia,France,1047474355
1,Indonesia,Germany,4091178958
2,Indonesia,Germany,2821568436
1,Indonesia,Indonesia,177172558
1,Indonesia,Italy,1722908132
2,Indonesia,Italy,2286858978
1,Indonesia,Japan,17007578713
2,Indonesia,Japan,23127088759
1,Indonesia,Rep. of Korea,11847411142
2,Indonesia,Rep. of Korea,10606478322
1,Indonesia,Mexico,187461952
2,Indonesia,Mexico,850874379
1,Indonesia,Netherlands,908269130
2,Indonesia,Netherlands,3984581541
1,Indonesia,Russian Federation,1589806150
2,Indonesia,Russian Federation,1052861250
1,Indonesia,Saudi Arabia,6516224008
2,Indonesia,Saudi Arabia,2156325133
1,Indonesia,India,3952081220
2,Indonesia,India,12248959579
1,Indonesia,Spain,517093069
2,Indonesia,Spain,1937638786
1,Indonesia,United Arab Emirates,1754332424
2,Indonesia,United Arab Emirates,2503133955
1,Indonesia,Turkey,1069207656
2,Indonesia,Turkey,1446131253
1,Indonesia,United Kingdom,894760653
2,Indonesia,United Kingdom,1658606643
1,Indonesia,USA,8188541791
2,Indonesia,USA,16560075701
1,Netherlands,Australia,1294779936
2,Netherlands,Australia,2851203103
1,Netherlands,Brazil,6163268994
2,Netherlands,Brazil,3673336319
1,Netherlands,Canada,1793293763
2,Netherlands,Canada,3363221149
1,Netherlands,China,47026705975
2,Netherlands,China,10471784153
1,Netherlands,France,22973618481
2,Netherlands,France,46843514573
1,Netherlands,Germany,83336332643
2,Netherlands,Germany,1.38E+11
1,Netherlands,Indonesia,3324342173
2,Netherlands,Indonesia,893755072
1,Netherlands,Italy,10720606324
2,Netherlands,Italy,24754729346
1,Netherlands,Japan,11055992527
2,Netherlands,Japan,4386472794
1,Netherlands,Rep. of Korea,4223867760
2,Netherlands,Rep. of Korea,4953307096
1,Netherlands,Mexico,1948934562
2,Netherlands,Mexico,3545335246
1,Netherlands,Russian Federation,24155708182
2,Netherlands,Russian Federation,8285445128
1,Netherlands,Saudi Arabia,4468448789
2,Netherlands,Saudi Arabia,3332387435
1,Netherlands,India,3573513960
2,Netherlands,India,2432396394
1,Netherlands,Spain,9063516188
2,Netherlands,Spain,15765305440
1,Netherlands,United Arab Emirates,1004982204
2,Netherlands,United Arab Emirates,3694148827
1,Netherlands,Turkey,3201488822
2,Netherlands,Turkey,6684967595
1,Netherlands,United Kingdom,33764989319
2,Netherlands,United Kingdom,48588051786
1,Netherlands,USA,36214005350
2,Netherlands,USA,24715197865
1,Saudi Arabia,Australia,2301476732
2,Saudi Arabia,Australia,440853847
1,Saudi Arabia,Brazil,2980884800
2,Saudi Arabia,Brazil,317550202
1,Saudi Arabia,Canada,1566125051
2,Saudi Arabia,Canada,16119799
1,Saudi Arabia,China,23078154842
2,Saudi Arabia,China,7318351553
1,Saudi Arabia,France,4496243598
2,Saudi Arabia,France,244005368
1,Saudi Arabia,Germany,12416571622
2,Saudi Arabia,Germany,225278045
1,Saudi Arabia,Indonesia,2407810441
2,Saudi Arabia,Indonesia,496045690
1,Saudi Arabia,Italy,5728654715
2,Saudi Arabia,Italy,890703960
1,Saudi Arabia,Japan,9903374000
2,Saudi Arabia,Japan,806702881
1,Saudi Arabia,Rep. of Korea,8546495740
2,Saudi Arabia,Rep. of Korea,1390821688
1,Saudi Arabia,Mexico,1553907952
2,Saudi Arabia,Mexico,15145413
1,Saudi Arabia,Netherlands,1840279996
2,Saudi Arabia,Netherlands,461138535
1,Saudi Arabia,Russian Federation,1892490318
2,Saudi Arabia,Russian Federation,45419163
1,Saudi Arabia,India,6171505662
2,Saudi Arabia,India,3826986631
1,Saudi Arabia,Spain,2185420566
2,Saudi Arabia,Spain,1003958510
1,Saudi Arabia,United Arab Emirates,8204377498
2,Saudi Arabia,United Arab Emirates,6308860224
1,Saudi Arabia,Turkey,2791086125
2,Saudi Arabia,Turkey,2129141957
1,Saudi Arabia,United Kingdom,4510655479
2,Saudi Arabia,United Kingdom,826500376
1,Saudi Arabia,USA,21384314625
2,Saudi Arabia,USA,1333181873
1,India,Australia,9934691321
2,India,Australia,2593527772
1,India,Brazil,5544022620
2,India,Brazil,7140521869
1,India,Canada,3747635638
2,India,Canada,2166283624
1,India,China,58230546310
2,India,China,13434250522
1,India,France,3383505858
2,India,France,5093448922
1,India,Germany,12706867416
2,India,Germany,7745248863
1,India,Indonesia,15184884088
2,India,Indonesia,4444760181
1,India,Italy,4334288264
2,India,Italy,5445502596
1,India,Japan,9963998204
2,India,Japan,5756878753
1,India,Rep. of Korea,13437254155
2,India,Rep. of Korea,4794855332
1,India,Mexico,3445596819
2,India,Mexico,2920998846
1,India,Netherlands,2782976932
2,India,Netherlands,6762223147
1,India,Russian Federation,4207628765
2,India,Russian Federation,2217472852
1,India,Saudi Arabia,32703510115
2,India,Saudi Arabia,13063510744
1,India,Spain,1739320368
2,India,Spain,3142284258
1,India,United Arab Emirates,27287867163
2,India,United Arab Emirates,32919602033
1,India,Turkey,1347561663
2,India,Turkey,5603061818
1,India,United Kingdom,4791111195
2,India,United Kingdom,9665339002
1,India,USA,20439727269
2,India,USA,42684739878
1,Turkey,Australia,544148275
2,Turkey,Australia,505008050
1,Turkey,Brazil,1728745207
2,Turkey,Brazil,794186310
1,Turkey,Canada,1107270371
2,Turkey,Canada,950456224
1,Turkey,China,24918223694
2,Turkey,China,2861052429
1,Turkey,France,8122571479
2,Turkey,France,6467862671
1,Turkey,Germany,22369476421
2,Turkey,Germany,15147423285
1,Turkey,Indonesia,2043491797
2,Turkey,Indonesia,227583139
1,Turkey,Italy,12055972191
2,Turkey,Italy,7141071417
1,Turkey,Japan,3199915149
2,Turkey,Japan,375472022
