Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,82667477335
2,China,Australia,33910012731
1,China,Brazil,52386750280
2,China,Brazil,31836677325
1,China,Canada,22167123339
2,China,Canada,25266589990
1,China,China,1.23E+11
1,China,France,22078792507
2,China,France,30245912719
1,China,Germany,92726219513
2,China,Germany,76399999430
1,China,Indonesia,31337083878
2,China,Indonesia,29220943981
1,China,Italy,17578443451
2,China,Italy,33692730999
1,China,Japan,1.95E+11
2,China,Japan,1.48E+11
1,China,Mexico,9377587115
2,China,Mexico,23975905865
1,China,Netherlands,8660906830
2,China,Netherlands,59499691403
1,China,Saudi Arabia,49467519877
2,China,Saudi Arabia,14849707392
1,China,India,23372278613
2,China,India,50536415932
1,China,Spain,7551575841
2,China,Spain,19723608754
1,China,United Arab Emirates,8306605795
2,China,United Arab Emirates,26812847746
1,China,Turkey,3123228248
2,China,Turkey,15613704584
1,China,United Kingdom,14556660582
2,China,United Kingdom,44122054712
1,Germany,Australia,3820133184
2,Germany,Australia,11596680586
1,Germany,Brazil,15583511582
2,Germany,Brazil,15630520589
1,Germany,Canada,7111619778
2,Germany,Canada,10303313974
1,Germany,China,1.12E+11
2,Germany,China,90496735985
1,Germany,France,92181814735
2,Germany,France,1.41E+11
1,Germany,Indonesia,5899222524
2,Germany,Indonesia,2968932871
1,Germany,Italy,67054286662
2,Germany,Italy,86392023673
1,Germany,Japan,34802780674
2,Germany,Japan,21399524544
1,Germany,Mexico,6052116321
2,Germany,Mexico,10589699850
1,Germany,Netherlands,1.14E+11
2,Germany,Netherlands,96462820392
1,Germany,Saudi Arabia,1270053437
2,Germany,Saudi Arabia,9617046504
1,Germany,India,10594423052
2,Germany,India,15211502042
1,Germany,Spain,31337618512
2,Germany,Spain,48515477116
1,Germany,United Arab Emirates,1428381483
2,Germany,United Arab Emirates,10754192580
1,Germany,Turkey,16373157958
2,Germany,Turkey,28183654628
1,Germany,United Kingdom,62369834392
2,Germany,United Kingdom,91140070306
1,Japan,Australia,56688392609
2,Japan,Australia,17813084034
1,Japan,Brazil,12672695754
2,Japan,Brazil,6206736553
1,Japan,Canada,12955021723
2,Japan,Canada,8908721914
1,Japan,China,1.84E+11
2,Japan,China,1.62E+11
1,Japan,France,11853276340
2,Japan,France,8196590335
1,Japan,Germany,23310707781
2,Japan,Germany,23502535265
1,Japan,Indonesia,34108571733
