Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,5850571701
2,China,Australia,4585039229
1,China,Brazil,3003019897
2,China,Brazil,1466382340
1,China,Canada,3626878469
2,China,Canada,4303458155
1,China,China,14980191728
1,China,France,4255734179
2,China,France,4087772114
1,China,Germany,16416414964
2,China,Germany,11371849916
1,China,Indonesia,4508344552
2,China,Indonesia,3426451699
1,China,Italy,4319464915
2,China,Italy,4827434793
1,China,Japan,53465998850
2,China,Japan,48433840387
1,China,Rep. of Korea,28568008001
2,China,Rep. of Korea,15534560637
1,China,Mexico,1114957105
2,China,Mexico,2863655071
1,China,Netherlands,1571573806
2,China,Netherlands,9107558607
1,China,Russian Federation,8406690131
2,China,Russian Federation,3520742377
1,China,Saudi Arabia,3435351217
2,China,Saudi Arabia,1671543733
1,China,India,2273871318
2,China,India,2671164208
1,China,Spain,900175313
2,China,Spain,2610822307
1,China,United Arab Emirates,445360971
2,China,United Arab Emirates,3450903775
1,China,Turkey,288785705
2,China,Turkey,1089043515
1,China,United Kingdom,3335959778
2,China,United Kingdom,8059424634
1,China,USA,27261096545
2,China,USA,70050092091
1,Germany,Australia,1119483000
2,Germany,Australia,3694849000
1,Germany,Brazil,3570731000
2,Germany,Brazil,4581964000
1,Germany,Canada,2608112000
2,Germany,Canada,5249583000
1,Germany,China,20076230000
2,Germany,China,13710968000
1,Germany,France,45241467000
2,Germany,France,63786532000
1,Germany,Indonesia,2117665000
2,Germany,Indonesia,1414838000
1,Germany,Italy,31455606000
2,Germany,Italy,43911295000
1,Germany,Japan,18686397000
2,Germany,Japan,11628545000
1,Germany,Rep. of Korea,4417824000
2,Germany,Rep. of Korea,5140213000
1,Germany,Mexico,1202158000
2,Germany,Mexico,4936565000
1,Germany,Netherlands,35269000000
2,Germany,Netherlands,36352499000
1,Germany,Russian Federation,8590388000
2,Germany,Russian Federation,10633522000
1,Germany,Saudi Arabia,792012000
2,Germany,Saudi Arabia,3248117000
1,Germany,India,2374676000
2,Germany,India,2227984000
1,Germany,Spain,14592399000
2,Germany,Spain,27456887000
1,Germany,United Arab Emirates,145491000
2,Germany,United Arab Emirates,2879700000
1,Germany,Turkey,6517988000
2,Germany,Turkey,6938449000
1,Germany,United Kingdom,30821191000
2,Germany,United Kingdom,50056536000
1,Germany,USA,36277168000
2,Germany,USA,63377330000
1,Japan,Australia,14018216836
2,Japan,Australia,8307199049
1,Japan,Brazil,2667125153
2,Japan,Brazil,1812270064
1,Japan,Canada,7155960608
2,Japan,Canada,7340304978
1,Japan,China,61784474320
2,Japan,China,39824769806
1,Japan,France,6535412367
2,Japan,France,6172002189
1,Japan,Germany,12414458636
2,Japan,Germany,14122267283
1,Japan,Indonesia,14183286933
2,Japan,Indonesia,6236416312
1,Japan,Italy,5425446653
2,Japan,Italy,4492177401
1,Japan,Rep. of Korea,15484805256
2,Japan,Rep. of Korea,28569755267
1,Japan,Mexico,1799757181
2,Japan,Mexico,3777380913
1,Japan,Netherlands,1799817168
2,Japan,Netherlands,10581526166
1,Japan,Russian Federation,3276510379
2,Japan,Russian Federation,944973362
1,Japan,Saudi Arabia,11631049800
2,Japan,Saudi Arabia,3758081069
1,Japan,India,2094694677
2,Japan,India,1870338881
1,Japan,Spain,1139411795
2,Japan,Spain,2706972954
1,Japan,United Arab Emirates,11594941050
2,Japan,United Arab Emirates,2948753402
1,Japan,Turkey,168293913
2,Japan,Turkey,846980781
1,Japan,United Kingdom,5414953069
2,Japan,United Kingdom,11978655616
1,Japan,USA,58808959340
2,Japan,USA,1.20E+11
1,USA,Australia,6816507245
2,USA,Australia,13084492973
1,USA,Brazil,16690150250
2,USA,Brazil,12375975032
1,USA,Canada,2.12E+11
2,USA,Canada,1.61E+11
1,USA,China,1.34E+11
2,USA,China,22127509053
1,USA,France,28858103026
2,USA,France,19343056435
1,USA,Germany,63905160737
2,USA,Germany,26628846440
1,USA,Indonesia,10385004986
2,USA,Indonesia,2555531834
1,USA,Italy,25345444958
2,USA,Italy,10056679976
1,USA,Japan,1.25E+11
2,USA,Japan,51447934377
1,USA,Rep. of Korea,36906552553
2,USA,Rep. of Korea,22575713539
1,USA,Mexico,1.36E+11
2,USA,Mexico,97470194750
1,USA,Netherlands,10290956294
2,USA,Netherlands,18310488494
1,USA,Russian Federation,7207030000
2,USA,Russian Federation,2396944154
1,USA,Saudi Arabia,13898557612
2,USA,Saudi Arabia,4780735939
1,USA,India,12449857747
2,USA,India,4101054638
1,USA,Spain,6118204437
2,USA,Spain,5297860609
