Trade Flow,Reporter,Partner,Trade Value (US$)
1,USA,Italy,37492843241
2,USA,Italy,15478024288
1,USA,Japan,1.43E+11
2,USA,Japan,66573421903
1,USA,Rep. of Korea,49823393852
2,USA,Rep. of Korea,34806587291
1,USA,Mexico,2.18E+11
2,USA,Mexico,1.52E+11
1,USA,Netherlands,21813287951
2,USA,Netherlands,40220700872
1,USA,Russian Federation,27931764911
2,USA,Russian Federation,9335368054
1,USA,Saudi Arabia,57005380622
2,USA,Saudi Arabia,12477994627
1,USA,India,26931322410
2,USA,India,18666534232
1,USA,Spain,11572987249
2,USA,Spain,12283005454
1,USA,United Arab Emirates,1347550414
2,USA,United Arab Emirates,15748648780
1,USA,Turkey,4949657147
2,USA,Turkey,10439710423
1,USA,United Kingdom,59740052569
2,USA,United Kingdom,53771991748
1,Australia,Australia,740980710
1,Australia,Brazil,1166229503
2,Australia,Brazil,1331244009
1,Australia,Canada,2384216111
2,Australia,Canada,1294341301
1,Australia,China,31588260655
2,Australia,China,27225181982
1,Australia,France,4382430994
2,Australia,France,1478794428
1,Australia,Germany,10003689063
2,Australia,Germany,1547095730
1,Australia,Indonesia,4683532985
2,Australia,Indonesia,3587340413
1,Australia,Italy,4747998995
2,Australia,Italy,1420528572
1,Australia,Japan,18049342720
2,Australia,Japan,42731584689
1,Australia,Rep. of Korea,5730763481
2,Australia,Rep. of Korea,15485801532
1,Australia,Mexico,1230013048
2,Australia,Mexico,565335990
1,Australia,Netherlands,1623254921
2,Australia,Netherlands,3051366203
1,Australia,Russian Federation,541909781
2,Australia,Russian Federation,933774255
1,Australia,Saudi Arabia,823690981
2,Australia,Saudi Arabia,2099449161
1,Australia,India,1642097643
2,Australia,India,11379978107
1,Australia,Spain,1831795761
2,Australia,Spain,736867203
1,Australia,United Arab Emirates,2048062915
2,Australia,United Arab Emirates,3291432558
1,Australia,Turkey,433503867
2,Australia,Turkey,842256253
1,Australia,United Kingdom,8657782057
2,Australia,United Kingdom,7844215761
1,Australia,USA,24256280095
2,Australia,USA,10184268115
1,Rep. of Korea,Australia,18000175985
2,Rep. of Korea,Australia,5171339251
1,Rep. of Korea,Brazil,4380459596
2,Rep. of Korea,Brazil,5925865679
1,Rep. of Korea,Canada,4403413199
2,Rep. of Korea,Canada,4057233554
1,Rep. of Korea,China,76926965196
2,Rep. of Korea,China,91388900017
1,Rep. of Korea,France,4885112410
2,Rep. of Korea,France,3682693974
1,Rep. of Korea,Germany,14769086614
2,Rep. of Korea,Germany,10522590534
1,Rep. of Korea,Indonesia,11320290919
2,Rep. of Korea,Indonesia,7933617062
1,Rep. of Korea,Italy,4151373385
2,Rep. of Korea,Italy,3545580244
1,Rep. of Korea,Japan,60956291440
2,Rep. of Korea,Japan,28252422582
1,Rep. of Korea,Mexico,1049283647
2,Rep. of Korea,Mexico,9089948789
1,Rep. of Korea,Netherlands,3239607852
2,Rep. of Korea,Netherlands,6405585545
1,Rep. of Korea,Russian Federation,8340054751
2,Rep. of Korea,Russian Federation,9747956810
1,Rep. of Korea,Saudi Arabia,33781495173
2,Rep. of Korea,Saudi Arabia,5253426432
1,Rep. of Korea,India,6581241185
2,Rep. of Korea,India,8977063366
1,Rep. of Korea,Spain,1129870094
2,Rep. of Korea,Spain,3192485564
1,Rep. of Korea,United Arab Emirates,19248495359
2,Rep. of Korea,United Arab Emirates,5748540176
1,Rep. of Korea,Turkey,361912603
2,Rep. of Korea,Turkey,3772570419
1,Rep. of Korea,United Kingdom,3637053210
2,Rep. of Korea,United Kingdom,5936115253
1,Rep. of Korea,USA,38555952398
2,Rep. of Korea,USA,46500676172
1,Mexico,Australia,806567626
2,Mexico,Australia,670894181
1,Mexico,Brazil,5182663434
2,Mexico,Brazil,3366873961
1,Mexico,Canada,9442479042
2,Mexico,Canada,7083682204
1,Mexico,China,34690315433
2,Mexico,China,2044757294
1,Mexico,France,3517281074
2,Mexico,France,531009702
1,Mexico,Germany,12605734177
2,Mexico,Germany,4998081547
1,Mexico,Indonesia,956613779
2,Mexico,Indonesia,63264377
1,Mexico,Italy,5219285879
2,Mexico,Italy,587164175
1,Mexico,Japan,16282453585
2,Mexico,Japan,2045908439
1,Mexico,Rep. of Korea,13527288227
2,Mexico,Rep. of Korea,537604719
1,Mexico,Netherlands,4183574005
2,Mexico,Netherlands,2487679896
1,Mexico,Russian Federation,821267610
2,Mexico,Russian Federation,116015742
1,Mexico,Saudi Arabia,588714741
2,Mexico,Saudi Arabia,156772338
1,Mexico,India,1360595057
2,Mexico,India,1559113267
1,Mexico,Spain,4055841862
2,Mexico,Spain,4232898222
1,Mexico,United Arab Emirates,84181946
2,Mexico,United Arab Emirates,201987574
1,Mexico,Turkey,252989487
2,Mexico,Turkey,65675188
1,Mexico,United Kingdom,2595531923
2,Mexico,United Kingdom,1749340009
1,Mexico,USA,1.52E+11
2,Mexico,USA,2.34E+11
1,Russian Federation,Australia,1025162181
2,Russian Federation,Australia,82042909
1,Russian Federation,Brazil,4670669650
2,Russian Federation,Brazil,2040699228
1,Russian Federation,Canada,1630472502
2,Russian Federation,Canada,939836078
1,Russian Federation,China,34768715531
2,Russian Federation,China,21147334469
1,Russian Federation,France,10066091522
2,Russian Federation,France,12282139219
1,Russian Federation,Germany,34075574753
2,Russian Federation,Germany,33187251589
1,Russian Federation,Indonesia,793822987
2,Russian Federation,Indonesia,616206020
1,Russian Federation,Italy,10995286122
2,Russian Federation,Italy,41955811385
1,Russian Federation,Japan,18589772248
2,Russian Federation,Japan,10429042541
1,Russian Federation,Rep. of Korea,10521138824
2,Russian Federation,Rep. of Korea,7787222934
1,Russian Federation,Mexico,618119077
2,Russian Federation,Mexico,612769080
1,Russian Federation,Netherlands,4814063435
2,Russian Federation,Netherlands,56944281207
1,Russian Federation,Saudi Arabia,22763072
2,Russian Federation,Saudi Arabia,465991397
1,Russian Federation,India,1714050899
2,Russian Federation,India,5231012021
1,Russian Federation,Spain,4242984571
2,Russian Federation,Spain,5060891800
1,Russian Federation,United Arab Emirates,41478398
2,Russian Federation,United Arab Emirates,804956559
1,Russian Federation,Turkey,6141304985
2,Russian Federation,Turkey,27663409672
1,Russian Federation,United Kingdom,7622204650
2,Russian Federation,United Kingdom,14904714346
1,Russian Federation,USA,13818227926
2,Russian Federation,USA,13752790092
1,Spain,Australia,1154172216
2,Spain,Australia,1529885411
1,Spain,Brazil,4623535616
2,Spain,Brazil,2421735951
1,Spain,Canada,2093307698
2,Spain,Canada,1228957740
1,Spain,China,30279433305
2,Spain,China,3176694665
1,Spain,France,46502457604
2,Spain,France,50896884395
1,Spain,Germany,58377627338
2,Spain,Germany,29361381394
1,Spain,Indonesia,2566859846
2,Spain,Indonesia,293678554
1,Spain,Italy,32189091067
2,Spain,Italy,22396488974
1,Spain,Japan,7566558696
2,Spain,Japan,2150880017
1,Spain,Rep. of Korea,3974540284
2,Spain,Rep. of Korea,840413236
1,Spain,Mexico,4730522266
2,Spain,Mexico,4141410907
1,Spain,Netherlands,15908011119
2,Spain,Netherlands,8760517319
1,Spain,Russian Federation,11071565391
2,Spain,Russian Federation,4186308001
1,Spain,Saudi Arabia,6209752048
2,Spain,Saudi Arabia,1434860878
1,Spain,India,3478301436
2,Spain,India,1133852058
1,Spain,United Arab Emirates,362244248
2,Spain,United Arab Emirates,1737384156
1,Spain,Turkey,5464049387
2,Spain,Turkey,4436416711
1,Spain,United Kingdom,19245904897
2,Spain,United Kingdom,19746340899
1,Spain,USA,16709311577
2,Spain,USA,11134348600
1,Brazil,Australia,1229284862
2,Brazil,Australia,1252853193
1,Brazil,Brazil,247079833
1,Brazil,Canada,3210396958
