Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,7300072115
2,China,Australia,6263578991
1,China,Brazil,5842291688
2,China,Brazil,2143255914
1,China,Canada,4374492403
2,China,Canada,5632183952
1,China,China,25094295708
1,China,France,6102649277
2,China,France,7331062614
1,China,Germany,24291888786
2,China,Germany,17442112338
1,China,Indonesia,5746970510
2,China,Indonesia,4481889970
1,China,Italy,5080580702
2,China,Italy,6652321112
1,China,Japan,74148125418
2,China,Japan,59408697992
1,China,Rep. of Korea,43128053598
2,China,Rep. of Korea,20094764742
1,China,Mexico,1676740889
2,China,Mexico,3267029646
1,China,Netherlands,1933120393
2,China,Netherlands,13501234886
1,China,Russian Federation,9728068486
2,China,Russian Federation,6029926895
1,China,Saudi Arabia,5172322420
2,China,Saudi Arabia,2146802960
1,China,India,4251377200
2,China,India,3343225003
1,China,Spain,1361329020
2,China,Spain,3931376341
1,China,United Arab Emirates,773463824
2,China,United Arab Emirates,5036996813
1,China,Turkey,532671835
2,China,Turkey,2065139564
1,China,United Kingdom,3570342065
2,China,United Kingdom,10823721178
1,China,USA,33944165955
2,China,USA,92626296055
1,Germany,Australia,1174669000
2,Germany,Australia,4760082000
1,Germany,Brazil,4355776000
2,Germany,Brazil,4620802000
1,Germany,Canada,2714816000
2,Germany,Canada,5491323000
1,Germany,China,28372814000
2,Germany,China,20620293000
1,Germany,France,55222050000
2,Germany,France,79186813000
1,Germany,Indonesia,2393094000
2,Germany,Indonesia,1423773000
1,Germany,Italy,38102920000
2,Germany,Italy,55238627000
1,Germany,Japan,21654140000
2,Germany,Japan,13400845000
1,Germany,Rep. of Korea,6459493000
2,Germany,Rep. of Korea,6311880000
1,Germany,Mexico,1745656000
2,Germany,Mexico,5495351000
1,Germany,Netherlands,50266046000
2,Germany,Netherlands,46411793000
1,Germany,Russian Federation,15142928000
2,Germany,Russian Federation,13732034000
1,Germany,Saudi Arabia,1053669000
2,Germany,Saudi Arabia,3602045000
1,Germany,India,2953346000
2,Germany,India,2767922000
1,Germany,Spain,18574734000
2,Germany,Spain,36816560000
1,Germany,United Arab Emirates,263921000
2,Germany,United Arab Emirates,3654166000
1,Germany,Turkey,8143841000
2,Germany,Turkey,10040618000
1,Germany,United Kingdom,36113976000
2,Germany,United Kingdom,62522830000
1,Germany,USA,44063978000
2,Germany,USA,69665327000
1,Japan,Australia,15079352612
2,Japan,Australia,9924188374
1,Japan,Brazil,2881345882
2,Japan,Brazil,1880628976
1,Japan,Canada,7529744022
2,Japan,Canada,7395105672
1,Japan,China,75471962387
2,Japan,China,57416821714
1,Japan,France,7247786138
2,Japan,France,7116746795
1,Japan,Germany,14207948414
2,Japan,Germany,16422574777
1,Japan,Indonesia,16468676230
2,Japan,Indonesia,7185336807
