Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,70895012700
2,China,Australia,37282496549
1,China,Brazil,45855047246
2,China,Brazil,21976152765
1,China,Canada,18336833947
2,China,Canada,27312227873
1,China,France,22511003294
2,China,France,24958617484
1,China,Germany,86109029796
2,China,Germany,65214030647
1,China,Indonesia,21414036371
2,China,Indonesia,32117494749
1,China,Italy,16713185425
2,China,Italy,26360471715
1,China,Japan,1.46E+11
2,China,Japan,1.29E+11
1,China,Mexico,10324735851
2,China,Mexico,32356651525
1,China,Netherlands,9809798270
2,China,Netherlands,57447210217
1,China,Saudi Arabia,23626019106
2,China,Saudi Arabia,18650906502
1,China,India,11764125238
2,China,India,58397760569
1,China,Spain,6135761960
2,China,Spain,21310945566
1,China,United Arab Emirates,9994362641
2,China,United Arab Emirates,30066955630
1,China,Turkey,2785414654
2,China,Turkey,16686640520
1,China,United Kingdom,18681446581
2,China,United Kingdom,55664076103
1,Germany,Australia,2134539929
2,Germany,Australia,10117698406
1,Germany,Brazil,8384390856
2,Germany,Brazil,10005110951
1,Germany,Canada,4326103670
2,Germany,Canada,10621679011
1,Germany,China,1.05E+11
2,Germany,China,85350435973
1,Germany,France,72916931157
2,Germany,France,1.11E+11
1,Germany,Indonesia,4273638011
2,Germany,Indonesia,2829708850
1,Germany,Italy,57288674810
2,Germany,Italy,67230316461
1,Germany,Japan,25366076566
2,Germany,Japan,20690887751
1,Germany,Mexico,5781836040
2,Germany,Mexico,12545314270
1,Germany,Netherlands,92488677850
2,Germany,Netherlands,86835884230
1,Germany,Saudi Arabia,700911907
2,Germany,Saudi Arabia,8232003443
1,Germany,India,8572330921
2,Germany,India,11238515441
1,Germany,Spain,30726191635
2,Germany,Spain,44521885275
1,Germany,United Arab Emirates,1017649676
2,Germany,United Arab Emirates,16330960955
1,Germany,Turkey,17004577189
2,Germany,Turkey,24886054528
1,Germany,United Kingdom,39420806863
2,Germany,United Kingdom,94075870670
1,Japan,Australia,30432596105
2,Japan,Australia,14104469909
1,Japan,Brazil,6738516478
2,Japan,Brazil,2791693420
1,Japan,Canada,9180340439
2,Japan,Canada,8162345902
1,Japan,China,1.57E+11
2,Japan,China,1.14E+11
1,Japan,France,10218936462
2,Japan,France,6239737057
1,Japan,Germany,22022455938
2,Japan,Germany,17652733307
1,Japan,Indonesia,18214821840
2,Japan,Indonesia,11327517557
1,Japan,Italy,8752931955
2,Japan,Italy,4708754971
1,Japan,Mexico,5742034566
2,Japan,Mexico,10663064894
1,Japan,Netherlands,2361559308
2,Japan,Netherlands,11815202410
1,Japan,Saudi Arabia,19570254430
2,Japan,Saudi Arabia,5030461803
1,Japan,India,4674419284
2,Japan,India,8188759238
1,Japan,Spain,3691384331
2,Japan,Spain,2858315006
1,Japan,United Arab Emirates,17298552509
2,Japan,United Arab Emirates,7996600865
1,Japan,Turkey,563327174
2,Japan,Turkey,2861050748
1,Japan,United Kingdom,6511035349
2,Japan,United Kingdom,13659024323
1,United Arab Emirates,Australia,2117092378
2,United Arab Emirates,Australia,325824950
1,United Arab Emirates,Brazil,1776800272
2,United Arab Emirates,Brazil,39735329
1,United Arab Emirates,Canada,1542535711
2,United Arab Emirates,Canada,171546674
1,United Arab Emirates,China,22424486751
2,United Arab Emirates,China,3662748765
1,United Arab Emirates,France,4454562294
2,United Arab Emirates,France,560340987
1,United Arab Emirates,Germany,12594493777
2,United Arab Emirates,Germany,751645872
1,United Arab Emirates,Indonesia,1167388254
2,United Arab Emirates,Indonesia,306457359
1,United Arab Emirates,Italy,5411372625
2,United Arab Emirates,Italy,1177002822
1,United Arab Emirates,Japan,9659324704
2,United Arab Emirates,Japan,853063385
1,United Arab Emirates,Mexico,739516595
2,United Arab Emirates,Mexico,34654220
1,United Arab Emirates,Netherlands,1286789964
2,United Arab Emirates,Netherlands,1105048172
1,United Arab Emirates,Saudi Arabia,4473661885
2,United Arab Emirates,Saudi Arabia,4762660868
1,United Arab Emirates,India,18669358619
2,United Arab Emirates,India,11255496258
1,United Arab Emirates,Spain,1621531152
2,United Arab Emirates,Spain,286229488
