Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,61105168266
2,China,Australia,27220263744
1,China,Brazil,38099447351
2,China,Brazil,24460651866
1,China,Canada,14921961381
2,China,Canada,22216134152
1,China,China,1.07E+11
1,China,France,17116565094
2,China,France,27858708505
1,China,Germany,74251272075
2,China,Germany,68047133397
1,China,Indonesia,20795188520
2,China,Indonesia,21953565243
1,China,Italy,14006239062
2,China,Italy,31139647035
1,China,Japan,1.77E+11
2,China,Japan,1.21E+11
1,China,Rep. of Korea,1.38E+11
2,China,Rep. of Korea,68766311130
1,China,Mexico,6875187863
2,China,Mexico,17872653087
1,China,Netherlands,6479120129
2,China,Netherlands,49704161455
1,China,Russian Federation,25913993644
2,China,Russian Federation,29612073703
1,China,Saudi Arabia,32829047702
2,China,Saudi Arabia,10366444546
1,China,India,20846313421
2,China,India,40913958297
1,China,Spain,6236378004
2,China,Spain,18178685692
1,China,United Arab Emirates,4451552488
2,China,United Arab Emirates,21235460530
1,China,Turkey,3164059033
2,China,Turkey,11942037327
1,China,United Kingdom,11305193076
2,China,United Kingdom,38767054020
1,China,USA,1.03E+11
2,China,USA,2.84E+11
1,Germany,Australia,2749669905
2,Germany,Australia,10415729072
1,Germany,Brazil,12461721800
2,Germany,Brazil,13781815869
1,Germany,Canada,5325622769
2,Germany,Canada,8528851079
1,Germany,China,1.01E+11
2,Germany,China,71067793770
1,Germany,France,81804227435
2,Germany,France,1.20E+11
1,Germany,Indonesia,4767311960
2,Germany,Indonesia,2631892437
1,Germany,Italy,57850773863
2,Germany,Italy,77482282704
1,Germany,Japan,29232371032
2,Germany,Japan,17373525170
1,Germany,Rep. of Korea,14709084075
2,Germany,Rep. of Korea,13593326954
1,Germany,Mexico,4875633884
2,Germany,Mexico,9194962110
1,Germany,Netherlands,91099288745
2,Germany,Netherlands,83780392777
1,Germany,Russian Federation,42100419613
2,Germany,Russian Federation,34921650431
1,Germany,Saudi Arabia,845492881
2,Germany,Saudi Arabia,7645909029
1,Germany,India,8205114435
2,Germany,India,12261063818
1,Germany,Spain,29485767835
2,Germany,Spain,45551011932
1,Germany,United Arab Emirates,686875277
2,Germany,United Arab Emirates,10047190274
1,Germany,Turkey,13126471905
2,Germany,Turkey,21454890389
1,Germany,United Kingdom,51107975585
2,Germany,United Kingdom,78816330637
1,Germany,USA,59593630566
2,Germany,USA,86847476324
1,Japan,Australia,45096684248
2,Japan,Australia,15897303728
1,Japan,Brazil,9817179285
2,Japan,Brazil,6201059310
1,Japan,Canada,10942480662
2,Japan,Canada,9326253535
1,Japan,China,1.53E+11
2,Japan,China,1.49E+11
1,Japan,France,10300605352
2,Japan,France,6706466039
1,Japan,Germany,19291528328
2,Japan,Germany,20290087455
1,Japan,Indonesia,28282988562
2,Japan,Indonesia,15926167929
1,Japan,Italy,6795696657
2,Japan,Italy,5592430147
1,Japan,Rep. of Korea,28600524057
2,Japan,Rep. of Korea,62361077498
1,Japan,Mexico,3479874026
2,Japan,Mexico,9574495412
1,Japan,Netherlands,3970288033
2,Japan,Netherlands,16338308503
1,Japan,Russian Federation,16128248210
2,Japan,Russian Federation,8026078629
1,Japan,Saudi Arabia,35972010043
2,Japan,Saudi Arabia,6486303781
1,Japan,India,5698041778
2,Japan,India,9042206559
1,Japan,Spain,2617823519
2,Japan,Spain,3222746695
1,Japan,United Arab Emirates,29341036192
2,Japan,United Arab Emirates,7339441947
1,Japan,Turkey,401527164
2,Japan,Turkey,2556213099
1,Japan,United Kingdom,6387969489
2,Japan,United Kingdom,14173714734
1,Japan,USA,69114692542
2,Japan,USA,1.20E+11
1,United Arab Emirates,Australia,2042198384
2,United Arab Emirates,Australia,151127277
1,United Arab Emirates,Brazil,1217518711
2,United Arab Emirates,Brazil,838476751
1,United Arab Emirates,Canada,959850563
2,United Arab Emirates,Canada,53676261
1,United Arab Emirates,China,13588913292
2,United Arab Emirates,China,619291370
1,United Arab Emirates,France,3481813911
2,United Arab Emirates,France,415126866
1,United Arab Emirates,Germany,8081544531
2,United Arab Emirates,Germany,318263642
1,United Arab Emirates,Indonesia,1247081563
2,United Arab Emirates,Indonesia,81746651
1,United Arab Emirates,Italy,4125507141
2,United Arab Emirates,Italy,348830823
1,United Arab Emirates,Japan,7760810492
2,United Arab Emirates,Japan,86413159
1,United Arab Emirates,Rep. of Korea,3305729410
2,United Arab Emirates,Rep. of Korea,126290920
1,United Arab Emirates,Mexico,412752401
2,United Arab Emirates,Mexico,13281029
1,United Arab Emirates,Netherlands,1341106131
2,United Arab Emirates,Netherlands,376532649
1,United Arab Emirates,Russian Federation,676563585
2,United Arab Emirates,Russian Federation,372325021
1,United Arab Emirates,Saudi Arabia,3259323940
2,United Arab Emirates,Saudi Arabia,2493794701
