Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,25801493543
2,China,Australia,17996590492
1,China,Brazil,18342070986
2,China,Brazil,11398472406
1,China,Canada,10979291545
2,China,Canada,19360318063
1,China,China,85773203798
1,China,France,13351621181
2,China,France,20466709061
1,China,Germany,45384335446
2,China,Germany,48744144230
1,China,Indonesia,12464206890
2,China,Indonesia,12695661139
1,China,Italy,10211075964
2,China,Italy,21187737246
1,China,Japan,1.34E+11
2,China,Japan,1.02E+11
1,China,Rep. of Korea,1.04E+11
2,China,Rep. of Korea,56432015981
1,China,Mexico,3265309769
2,China,Mexico,11717654683
1,China,Netherlands,4924823590
2,China,Netherlands,41423052427
1,China,Russian Federation,19688578673
2,China,Russian Federation,28529895037
1,China,Saudi Arabia,17560475696
2,China,Saudi Arabia,7839958562
1,China,India,14617156071
2,China,India,24051379611
1,China,Spain,4430019442
2,China,Spain,16622006646
1,China,United Arab Emirates,3012026771
2,China,United Arab Emirates,17104968130
1,China,Turkey,1293801390
2,China,Turkey,10484265622
1,China,United Kingdom,7776492840
2,China,United Kingdom,31666365068
1,China,USA,69547964495
2,China,USA,2.33E+11
1,Germany,Australia,2294356000
2,Germany,Australia,7971935000
1,Germany,Brazil,11452766000
2,Germany,Brazil,9405570000
1,Germany,Canada,4771762000
2,Germany,Canada,8688309000
1,Germany,China,75047643000
2,Germany,China,41106431000
1,Germany,France,88900117000
2,Germany,France,1.29E+11
1,Germany,Indonesia,4310869000
2,Germany,Indonesia,2181112000
1,Germany,Italy,60790880000
2,Germany,Italy,89263638000
1,Germany,Japan,32996181000
2,Germany,Japan,17913466000
1,Germany,Rep. of Korea,12389968000
2,Germany,Rep. of Korea,11973074000
1,Germany,Mexico,5110368000
2,Germany,Mexico,9014293000
1,Germany,Netherlands,88335346000
2,Germany,Netherlands,85550223000
1,Germany,Russian Federation,39576940000
2,Germany,Russian Federation,38755181000
1,Germany,Saudi Arabia,1463522000
2,Germany,Saudi Arabia,7311409000
1,Germany,India,6462501000
2,Germany,India,10130046000
1,Germany,Spain,28956451000
2,Germany,Spain,66023015000
1,Germany,United Arab Emirates,583486000
2,Germany,United Arab Emirates,8007754000
1,Germany,Turkey,13328399000
2,Germany,Turkey,20723232000
1,Germany,United Kingdom,59560295000
2,Germany,United Kingdom,97258871000
1,Germany,USA,62436453000
2,Germany,USA,1.01E+11
1,Japan,Australia,31252148401
2,Japan,Australia,14202594219
1,Japan,Brazil,5998114208
2,Japan,Brazil,3994324816
1,Japan,Canada,9989138363
2,Japan,Canada,10539908326
1,Japan,China,1.28E+11
2,Japan,China,1.09E+11
1,Japan,France,10050954073
