Trade Flow,Reporter,Partner,Trade Value (US$)
1,China,Australia,73509970806
2,China,Australia,40306508770
1,China,Brazil,44089358062
2,China,Brazil,27412225426
1,China,Canada,26213745786
2,China,Canada,29422642319
1,China,China,1.43E+11
1,China,France,24631699637
2,China,France,27051526502
1,China,Germany,87623361068
2,China,Germany,69154833607
1,China,Indonesia,19886194033
2,China,Indonesia,34341964720
1,China,Italy,16819824938
2,China,Italy,27834410422
1,China,Japan,1.43E+11
2,China,Japan,1.36E+11
1,China,Rep. of Korea,1.75E+11
2,China,Rep. of Korea,1.01E+11
1,China,Mexico,10027517434
2,China,Mexico,33791755144
1,China,Netherlands,8777760827
2,China,Netherlands,59453380174
1,China,Russian Federation,33258662857
2,China,Russian Federation,34756877250
1,China,Saudi Arabia,30021050937
2,China,Saudi Arabia,21612927984
1,China,India,13368553464
2,China,India,58228027086
1,China,Spain,5587168575
2,China,Spain,21855810760
1,China,United Arab Emirates,11514031960
2,China,United Arab Emirates,37020164366
1,China,Turkey,2943637695
2,China,Turkey,18607841074
1,China,United Kingdom,18933743502
2,China,United Kingdom,59567065460
1,China,USA,1.49E+11
2,China,USA,4.10E+11
1,Germany,Australia,2043563065
2,Germany,Australia,9378864499
1,Germany,Brazil,9159919542
2,Germany,Brazil,11062911939
1,Germany,Canada,4126990343
2,Germany,Canada,11111729758
1,Germany,China,1.03E+11
2,Germany,China,79429908590
1,Germany,France,74158393518
2,Germany,France,1.14E+11
1,Germany,Indonesia,4456242639
2,Germany,Indonesia,2958790109
1,Germany,Italy,54348280638
2,Germany,Italy,64311243191
1,Germany,Japan,23278332200
2,Germany,Japan,18939650920
1,Germany,Rep. of Korea,8557473049
2,Germany,Rep. of Korea,19882772192
1,Germany,Mexico,5038652817
2,Germany,Mexico,12329278482
1,Germany,Netherlands,97476691937
2,Germany,Netherlands,87825910080
1,Germany,Russian Federation,33681666896
2,Germany,Russian Federation,24650469321
1,Germany,Saudi Arabia,971779479
2,Germany,Saudi Arabia,11095337259
1,Germany,India,8545705951
2,Germany,India,10870848282
1,Germany,Spain,29044903367
2,Germany,Spain,42936361280
1,Germany,United Arab Emirates,1024711038
2,Germany,United Arab Emirates,16304759350
1,Germany,Turkey,16094741508
2,Germany,Turkey,24796824639
1,Germany,United Kingdom,42548939344
2,Germany,United Kingdom,98712709353
1,Germany,USA,68423395038
2,Germany,USA,1.27E+11
1,Japan,Australia,34791622271
2,Japan,Australia,12849843790
1,Japan,Brazil,7516851256
2,Japan,Brazil,3930772145
1,Japan,Canada,9168186718
2,Japan,Canada,7735540455
1,Japan,China,1.61E+11
2,Japan,China,1.09E+11
1,Japan,France,9482556079
